train dataset: torch.Size([3, 80, 80]) (x791), 7
fs dataset: torch.Size([3, 80, 80]) (x41), 4
num params: 11.2M
epoch 87, train 0.0152|1.0000, val 0.7206|0.7059, 1.0s 1.9m/2.2m
epoch 88, train 0.0138|1.0000, val 0.7525|0.7389, 1.0s 2.0m/2.2m
epoch 89, train 0.0128|1.0000, val 0.7300|0.7350, 1.0s 2.0m/2.2m
epoch 90, train 0.0213|1.0000, val 0.8015|0.7020, fs 6: 0.1406, 1.7s 2.0m/2.2m
epoch 91, train 0.0119|1.0000, val 0.6958|0.7348, 1.0s 2.0m/2.2m
epoch 92, train 0.0126|1.0000, val 0.8026|0.7059, 1.0s 2.0m/2.2m
epoch 93, train 0.0140|1.0000, val 0.7143|0.7225, 1.0s 2.1m/2.2m
epoch 94, train 0.0203|1.0000, val 0.8061|0.7020, 1.0s 2.1m/2.2m
epoch 95, train 0.0153|1.0000, val 0.7547|0.6937, fs 6: 0.1375, 1.8s 2.1m/2.2m
epoch 96, train 0.0140|1.0000, val 0.8093|0.6976, 1.0s 2.1m/2.2m
epoch 97, train 0.0113|1.0000, val 0.7485|0.7061, 1.0s 2.2m/2.2m
epoch 98, train 0.0127|1.0000, val 0.7707|0.7061, 1.0s 2.2m/2.2m
epoch 99, train 0.0127|1.0000, val 0.7596|0.7269, 1.0s 2.2m/2.2m
epoch 100, train 0.0303|0.9938, val 0.7842|0.7103, fs 6: 0.1375, 1.8s 2.2m/2.2m
